7.500000000000000000e+02	3.886703154915219862e-08
7.501250000000000000e+02	3.917049615465676664e-08
7.502500000000000000e+02	3.947759439516088848e-08
7.503750000000000000e+02	3.978838532858802113e-08
7.505000000000000000e+02	4.010292922967982513e-08
7.506250000000000000e+02	4.042128762041827262e-08
7.507500000000000000e+02	4.074352330134664276e-08
7.508750000000000000e+02	4.106970038380860153e-08
7.510000000000000000e+02	4.139988432315580421e-08
7.511250000000000000e+02	4.173414195293278187e-08
7.512500000000000000e+02	4.207254152009829854e-08
7.513750000000000000e+02	4.241515272129693649e-08
7.515000000000000000e+02	4.276204674022810535e-08
7.516250000000000000e+02	4.311329628615708991e-08
7.517500000000000000e+02	4.346897563358593749e-08
7.518750000000000000e+02	4.382916066315239079e-08
7.520000000000000000e+02	4.419392890378629423e-08
7.521250000000000000e+02	4.456335957614964552e-08
7.522500000000000000e+02	4.493753363745511402e-08
7.523750000000000000e+02	4.531653382765701045e-08
7.525000000000000000e+02	4.570044471710305112e-08
7.526250000000000000e+02	4.608935275567444486e-08
7.527500000000000000e+02	4.648334632349604836e-08
7.528750000000000000e+02	4.688251578323870508e-08
7.530000000000000000e+02	4.728695353410318948e-08
7.531250000000000000e+02	4.769675406753060289e-08
7.532500000000000000e+02	4.811201402470427718e-08
7.533750000000000000e+02	4.853283225592153671e-08
7.535000000000000000e+02	4.895930988188034370e-08
7.536250000000000000e+02	4.939155035698833409e-08
7.537500000000000000e+02	4.982965953473575494e-08
7.538750000000000000e+02	5.027374573522179126e-08
7.540000000000000000e+02	5.072391981494034005e-08
7.541250000000000000e+02	5.118029523886553818e-08
7.542500000000000000e+02	5.164298815496130686e-08
7.543750000000000000e+02	5.211211747120344052e-08
7.545000000000000000e+02	5.258780493518749545e-08
7.546250000000000000e+02	5.307017521646461420e-08
7.547500000000000000e+02	5.355935599165954220e-08
7.548750000000000000e+02	5.405547803253715946e-08
7.550000000000000000e+02	5.455867529708876408e-08
7.551250000000000000e+02	5.506908502377539984e-08
7.552500000000000000e+02	5.558684782906571176e-08
7.553750000000000000e+02	5.611210780837295815e-08
7.555000000000000000e+02	5.664501264055910335e-08
7.556250000000000000e+02	5.718571369612315310e-08
7.557500000000000000e+02	5.773436614924254354e-08
7.558750000000000000e+02	5.829112909382483412e-08
7.560000000000000000e+02	5.885616566370466067e-08
7.561250000000000000e+02	5.942964315722256195e-08
7.562500000000000000e+02	6.001173316628883908e-08
7.563750000000000000e+02	6.060261171017144997e-08
7.565000000000000000e+02	6.120245937421008204e-08
7.566250000000000000e+02	6.181146145361998631e-08
7.567500000000000000e+02	6.242980810265199123e-08
7.568750000000000000e+02	6.305769448930379845e-08
7.570000000000000000e+02	6.369532095583816582e-08
7.571250000000000000e+02	6.434289318535741577e-08
7.572500000000000000e+02	6.500062237467157041e-08
7.573750000000000000e+02	6.566872541379601513e-08
7.575000000000000000e+02	6.634742507229223540e-08
7.576250000000000000e+02	6.703695019281712158e-08
7.577500000000000000e+02	6.773753589215833781e-08
7.578750000000000000e+02	6.844942377013130792e-08
7.580000000000000000e+02	6.917286212664388868e-08
7.581250000000000000e+02	6.990810618732330208e-08
7.582500000000000000e+02	7.065541833812814162e-08
7.583750000000000000e+02	7.141506836926582959e-08
7.585000000000000000e+02	7.218733372893442575e-08
7.586250000000000000e+02	7.297249978730527607e-08
7.587500000000000000e+02	7.377086011120098770e-08
7.588750000000000000e+02	7.458271675002744098e-08
7.590000000000000000e+02	7.540838053341237913e-08
7.591250000000000000e+02	7.624817138117728740e-08
7.592500000000000000e+02	7.710241862619922097e-08
7.593750000000000000e+02	7.797146135075056831e-08
7.595000000000000000e+02	7.885564873703989086e-08
7.596250000000000000e+02	7.975534043255078576e-08
7.597500000000000000e+02	8.067090693099277008e-08
7.598750000000000000e+02	8.160272996955825081e-08
7.600000000000000000e+02	8.255120294333118405e-08
7.601250000000000000e+02	8.351673133768954631e-08
7.602500000000000000e+02	8.449973317958962603e-08
7.603750000000000000e+02	8.550063950871303916e-08
7.605000000000000000e+02	8.651989486946007265e-08
7.606250000000000000e+02	8.755795782483460769e-08
7.607500000000000000e+02	8.861530149340908929e-08
7.608750000000000000e+02	8.969241411047011606e-08
7.610000000000000000e+02	9.078979961470407176e-08
7.611250000000000000e+02	9.190797826165629040e-08
7.612500000000000000e+02	9.304748726546648409e-08
7.613750000000000000e+02	9.420888147033165228e-08
7.615000000000000000e+02	9.539273405325920878e-08
7.616250000000000000e+02	9.659963725988024140e-08
7.617500000000000000e+02	9.783020317501495843e-08
7.618750000000000000e+02	9.908506452994768289e-08
7.620000000000000000e+02	1.003648755484150772e-07
7.621250000000000000e+02	1.016703128334034758e-07
7.622500000000000000e+02	1.030020762971161648e-07
7.623750000000000000e+02	1.043608901364233534e-07
7.625000000000000000e+02	1.057475038564440909e-07
7.626250000000000000e+02	1.071626933449812492e-07
7.627500000000000000e+02	1.086072620006502683e-07
7.628750000000000000e+02	1.100820419179365359e-07
7.630000000000000000e+02	1.115878951323339386e-07
7.631250000000000000e+02	1.131257149292254624e-07
7.632500000000000000e+02	1.146964272201140686e-07
7.633750000000000000e+02	1.163009919903679791e-07
7.635000000000000000e+02	1.179404048226290205e-07
7.636250000000000000e+02	1.196156985004865629e-07
7.637500000000000000e+02	1.213279446973767259e-07
7.638750000000000000e+02	1.230782557557363321e-07
7.640000000000000000e+02	1.248677865622160225e-07
7.641250000000000000e+02	1.266977365247246115e-07
7.642500000000000000e+02	1.285693516578206570e-07
7.643750000000000000e+02	1.304839267832343349e-07
