	Lattice depth (Er)	Lattice depth (uK)	Excitation freq. 1->2 (Hz)	Excitation freq. 1->3 (Hz)	Excitation freq. 1->4 (Hz)	Excitation freq. 1->5 (Hz)	Excitation freq. 1->6 (Hz)	Excitation freq. 1->7 (Hz)	Excitation freq. 1->8 (Hz)	Excitation freq. 1->9 (Hz)	Excitation freq. 1->10 (Hz)
47	47.0	4.574026361379395	19214.561243359938	19214.561243362623	36627.91951717324	37494.82371730048	37494.823717303705	52953.82037833041	52953.82037833234	54701.37923594507	54785.201330483316
48	48.0	4.671346071195978	19436.719386202574	19436.719386207114	37077.30910987178	37942.21591762528	37942.21591763085	53629.448476037694	53629.44847604244	55375.14990723921	55463.88124001673
49	49.0	4.768665781012561	19656.541195369908	19656.54119537652	37521.724896100466	38384.76657293225	38384.76657293264	54298.23291870962	54298.232918712754	56041.99280179621	56134.723597440185
50	50.0	4.865985490829144	19874.09863036529	19874.09863036944	37961.34151566079	38822.635445704065	38822.63544570599	54960.326328109775	54960.32632811093	56702.080177237825	56798.0354587396
51	51.0	4.963305200645727	20089.46008240342	20089.460082406906	38396.32242367984	39255.973205149	39255.97320515233	55615.88055141711	55615.88055141828	57355.58075898462	57454.100777096275
52	52.0	5.06062491046231	20302.690609742243	20302.690609745154	38826.8209667197	39684.92217645967	39684.922176463966	56265.04602902216	56265.0460290242	58002.65944629656	58103.18297349295
53	53.0	5.157944620278892	20513.85215447569	20513.852154484957	39252.981324628185	40109.617010141206	40109.61701014187	56907.97127209532	56907.97127209931	58643.4770911646	58745.52715649388
54	54.0	5.255264330095475	20723.003742387336	20723.003742391415	39674.93933741239	40530.185281370985	40530.1852813736	57544.80243635227	57544.80243635419	59278.19033976372	59381.36204356891
55	55.0	5.352584039912059	20930.20166745523	20930.20166745755	40092.82323394489	40946.748028324044	40946.74802832555	58175.68297978786	58175.68297979127	59906.95152736086	60010.90162864677
56	56.0	5.449903749728641	21135.49966214821	21135.499662154754	40506.754276144165	41359.42023681741	41359.420236818565	58800.75339326316	58800.75339326742	60529.90861849717	60634.346633399044
57	57.0	5.547223459545224	21338.949054840807	21338.949054840825	40916.84733036535	41768.3112777068	41768.3112777119	59420.1509938364	59420.150993837335	61147.2051852174	61251.88577408813
58	58.0	5.644543169361807	21540.598915385115	21540.59891538719	41323.2113760126	42173.52530280285	42173.525302803035	60034.00977212651	60034.00977212963	61758.98041708875	61863.69687099662
59	59.0	5.741862879178389	21740.496189928315	21740.49618993408	41725.94995966864	42575.161603907334	42575.16160390791	60642.46028561187	60642.46028561333	62365.3691573887	62469.9478229213
60	60.0	5.839182588994972	21938.685825778997	21938.68582577905	42125.161601783424	42973.314939305514	42973.314939310054	61245.62959097474	61245.62959097691	62966.501960693786	63070.7974659735
61	61.0	5.936502298811555	22135.210887263434	22135.2108872663	42520.94016221143	43368.07583133612	43368.07583133853	61843.64120934919	61843.64120935606	63562.5051676768	63666.396332920245
62	62.0	6.033822008628138	22330.11266324176	22330.112663244934	42913.37516956327	43759.53083808153	43759.53083808255	62436.61511897801	62436.61511897957	64153.500993539405	64256.88732670083
