	Lattice depth (Er)	Lattice depth (uK)	Excitation freq. min (Hz)	Excitation freq. max (Hz)	Excitation freq. (Hz)
50	750.0	72.9898009253201	187704.1564615289	187704.15646153304	187704.15646153004
51	765.0	74.4495969438265	189619.5223810273	189619.52238103087	189619.52238102927
52	780.0	75.9093929623329	191516.17720759104	191516.17720759643	191516.17720759104
53	795.0	77.3691889808393	193394.65886150702	193394.65886151086	193394.65886150926
54	810.0	78.8289849993457	195255.4799707837	195255.47997078768	195255.47997078468
55	825.0	80.28878101785212	197099.12950547834	197099.12950548355	197099.12950548355
56	840.0	81.74857703635851	198926.07427869074	198926.0742786951	198926.07427869283
57	855.0	83.20837305486491	200736.76032727357	200736.76032727776	200736.76032727407
58	870.0	84.6681690733713	202531.6141838587	202531.61418386304	202531.61418386208
59	885.0	86.12796509187773	204311.04405046732	204311.04405047142	204311.044050469
60	900.0	87.58776111038412	206075.44088283624	206075.44088284145	206075.44088283964
61	915.0	89.0475571288905	207825.17939366144	207825.1793936675	207825.17939366307
62	930.0	90.50735314739693	209560.61898201125	209560.618982017	209560.61898201462
63	945.0	91.96714916590332	211282.1045954626	211282.10459546797	211282.1045954628
64	960.0	93.42694518440973	212989.9675308255	212989.96753083137	212989.96753082663
65	975.0	94.88674120291613	214684.5261787	214684.52617870897	214684.52617870324
66	990.0	96.34653722142252	216366.08671662287	216366.0867166313	216366.08671662572
67	1005.0	97.80633323992893	218034.94375506573	218034.9437550766	218034.9437550701
68	1020.0	99.26612925843533	219691.38094016173	219691.38094017346	219691.38094016383
69	1035.0	100.72592527694174	221335.6715166302	221335.67151664512	221335.6715166351
70	1050.0	102.18572129544815	222968.07885409205	222968.07885410916	222968.0788540949
71	1065.0	103.64551731395454	224588.85693961682	224588.8569396406	224588.85693962037
72	1080.0	105.10531333246094	226198.25083913511	226198.2508391606	226198.25083913826
73	1095.0	106.56510935096733	227796.49713006863	227796.49713010277	227796.49713007317
74	1110.0	108.02490536947374	229383.82430736968	229383.82430741072	229383.82430737626
75	1125.0	109.48470138798015	230960.45316490324	230960.45316495502	230960.45316491148
76	1140.0	110.94449740648655	232526.59715401725	232526.59715408232	232526.59715402656
77	1155.0	112.40429342499296	234082.46272091268	234082.46272098811	234082.4627209232
78	1170.0	113.86408944349935	235628.24962434857	235628.24962444295	235628.24962436254
79	1185.0	115.32388546200575	237164.15123506103	237164.15123517558	237164.15123507744
80	1200.0	116.78368148051216	238690.35481815247	238690.35481828928	238690.3548181718
81	1215.0	118.24347749901857	240207.04179963653	240207.0417998059	240207.04179966098
82	1230.0	119.70327351752496	241714.38801820992	241714.38801841417	241714.38801823923
83	1245.0	121.16306953603136	243212.56396322354	243212.56396346953	243212.5639632582
84	1260.0	122.62286555453775	244701.7349997925	244701.73500008683	244701.73499983354
85	1275.0	124.08266157304415	246182.06158185974	246182.06158221507	246182.06158190942
86	1290.0	125.54245759155056	247653.69945400965	247653.69945443454	247653.69945406998
87	1305.0	127.00225361005697	249116.799842736	249116.7998432435	249116.7998428091
88	1320.0	128.4620496285634	250571.50963784877	250571.50963845098	250571.50963793707
89	1335.0	129.92184564706977	252017.97156460048	252017.9715653145	252017.97156470525
90	1350.0	131.38164166557615	253456.32434715066	253456.3243479921	253456.3243472744
91	1365.0	132.84143768408256	254886.70286385543	254886.70286484843	254886.70286400052
92	1380.0	134.30123370258897	256309.2382949002	256309.23829606795	256309.2382950713
93	1395.0	135.76102972109538	257724.05826272542	257724.0582640963	257724.05826292807
94	1410.0	137.2208257396018	259131.28696566226	259131.28696726536	259131.2869658997
95	1425.0	138.68062175810817	260531.0453051923	260531.04530706638	260531.04530547102
96	1440.0	140.14041777661458	261923.4510071828	261923.45100936719	261923.45100750864
97	1455.0	141.600213795121	263308.61873745534	263308.6187399932	263308.6187378382
98	1470.0	143.0600098136274	264686.6602119974	264686.66021493904	264686.6602124418
99	1485.0	144.51980583213378	266057.68430211983	266057.68430552876	266057.6843026345
100	1500.0	145.9796018506402	267421.7971348589	267421.7971387953	267421.79713545827
