	Nsite	Calc. time (s)	Std. of calc. time (s)
0	1001	0.310325026512146	0.02190472869547589
1	1021	0.2963278293609619	0.014836027850622786
2	1041	0.30432558059692383	0.009190036024103421
3	1061	0.31681978702545166	0.0028280535350809896
4	1081	0.36479008197784424	0.04805701678387968
5	1101	0.3173198699951172	0.010601449687036241
6	1121	0.3313099145889282	0.009177391969550154
7	1141	0.3657902479171753	0.014134872878795553
8	1161	0.3872792720794678	0.08551325823029929
9	1181	0.42925381660461426	0.06572548144182859
10	1201	0.41826069355010986	0.043113022866157764
