	Lattice depth (Er)	Lattice depth (uK)	Excitation freq. min (Hz)	Excitation freq. max (Hz)	Excitation freq. (Hz)
107	267.5	44.91981099686825	35745.048863959586	35745.048863961216	35745.04886396034
108	270.0	45.339622314595985	35912.92105921336	35912.92105921457	35912.92105921438
109	272.5	45.75943363232373	36080.0177714004	36080.0177714021	36080.0177714004
110	275.0	46.17924495005147	36246.34964926634	36246.34964926778	36246.34964926734
111	277.5	46.59905626777921	36411.92710005444	36411.92710005591	36411.92710005444
112	280.0	47.01886758550695	36576.76029710571	36576.76029710686	36576.76029710667
113	282.5	47.43867890323469	36740.859187150716	36740.85918715224	36740.85918715153
114	285.0	47.85849022096243	36904.23349731747	36904.23349731916	36904.233497318804
115	287.5	48.27830153869017	37066.89274185737	37066.89274185898	37066.89274185821
116	290.0	48.69811285641791	37228.8462286109	37228.846228612936	37228.84622861171
117	292.5	49.11792417414566	37390.10306522459	37390.10306522617	37390.10306522526
118	295.0	49.5377354918734	37550.67216512679	37550.672165128206	37550.67216512749
119	297.5	49.95754680960113	37710.56225327645	37710.562253277894	37710.5622532775
120	300.0	50.377358127328876	37869.781871697014	37869.78187169863	37869.78187169786
121	302.5	50.79716944505661	38028.33938480035	38028.339384801846	38028.33938480117
122	305.0	51.21698076278435	38186.24298451477	38186.2429845165	38186.24298451558
123	307.5	51.636792080512095	38343.50069522456	38343.500695226096	38343.50069522488
124	310.0	52.05660339823984	38500.12037852709	38500.120378528605	38500.12037852768
125	312.5	52.47641471596758	38656.10973781947	38656.109737821185	38656.1097378204
126	315.0	52.89622603369533	38811.47632272099	38811.476322722534	38811.47632272233
127	317.5	53.31603735142306	38966.22753333527	38966.22753333696	38966.22753333636
128	320.0	53.735848669150805	39120.37062436414	39120.37062436555	39120.37062436483
129	322.5	54.15565998687854	39273.912709075244	39273.91270907692	39273.91270907638
130	325.0	54.57547130460629	39426.86076313436	39426.860763136	39426.86076313563
131	327.5	54.99528262233403	39579.22162830067	39579.22162830244	39579.221628301006
132	330.0	55.415093940061766	39731.002016000384	39731.00201600233	39731.00201600077
133	332.5	55.83490525778951	39882.20851077607	39882.20851077747	39882.20851077646
134	335.0	56.25471657551725	40032.84757361752	40032.84757361897	40032.847573618375
135	337.5	56.674527893244985	40182.925545186445	40182.925545188264	40182.925545188016
136	340.0	57.094339210972734	40332.44864892999	40332.448648931415	40332.448648930804
137	342.5	57.51415052870047	40481.422994088796	40481.42299409077	40481.42299408948
138	345.0	57.93396184642821	40629.85457861508	40629.85457861679	40629.854578615326
139	347.5	58.35377316415595	40777.74929198567	40777.749291987246	40777.749291986336
140	350.0	58.77358448188369	40925.11291793147	40925.11291793377	40925.11291793228
141	352.5	59.19339579961143	41071.95113707587	41071.95113707774	41071.951137076605
142	355.0	59.61320711733917	41218.26952949015	41218.26952949183	41218.26952949152
143	357.5	60.03301843506691	41364.07357716677	41364.07357716911	41364.0735771676
144	360.0	60.45282975279465	41509.36866641841	41509.36866642029	41509.36866641932
145	362.5	60.872641070522384	41654.16009019634	41654.16009019816	41654.160090197525
146	365.0	61.29245238825013	41798.45305034253	41798.453050345146	41798.45305034425
147	367.5	61.71226370597788	41942.252659770915	41942.25265977359	41942.25265977251
148	370.0	62.13207502370561	42085.56394458054	42085.56394458259	42085.56394458164
149	372.5	62.55188634143336	42228.39184610296	42228.391846105085	42228.39184610396
150	375.0	62.971697659161094	42370.74122289373	42370.74122289583	42370.74122289432
151	377.5	63.39150897688884	42512.61685265942	42512.61685266134	42512.616852660605
152	380.0	63.811320294616586	42654.02343412993	42654.02343413188	42654.0234341313
153	382.5	64.23113161234431	42794.965588871135	42794.965588872794	42794.96558887154
154	385.0	64.65094293007206	42935.447863049965	42935.44786305281	42935.4478630514
