	Nsite	Calc. time (s)	Std. of calc. time (s)
0	21	0.049871277809143064	0.01065533699856005
1	41	0.051170516014099124	0.006659141136863477
2	61	0.05836689472198486	0.010422778030588708
3	81	0.05276978015899658	0.005029951504858497
4	101	0.05516848564147949	0.012711031160650447
5	121	0.05346953868865967	0.00821823062722856
6	141	0.06016542911529541	0.014244744925585183
7	161	0.062164473533630374	0.016854444512280888
8	181	0.05766713619232178	0.005393454750566689
9	201	0.05996553897857666	0.009469335698099482
10	221	0.06216466426849365	0.004538096546779923
11	241	0.06276428699493408	0.007622318038453837
12	261	0.06076500415802002	0.002971477718625378
13	281	0.0683610200881958	0.010074147721059527
14	301	0.0677609920501709	0.010101314153760225
15	321	0.07025976181030273	0.006827114028457452
16	341	0.07225890159606933	0.008775977972160797
17	361	0.0796541452407837	0.01050442802686631
18	381	0.0736579179763794	0.005712598642306138
19	401	0.0897484302520752	0.007295025773138485
20	421	0.08964881896972657	0.008598109940235505
21	441	0.09104793071746826	0.010196319447683747
22	461	0.0985438346862793	0.01051723832912347
23	481	0.09734413623809815	0.013042065315517803
24	501	0.10863780975341797	0.012668027858248004
25	521	0.11203598976135254	0.012451004698939278
26	541	0.10933723449707031	0.015936229247642524
27	561	0.11683344841003418	0.007216248235685654
28	581	0.12282953262329102	0.012477243847754916
29	601	0.12023141384124755	0.012527539646510634
30	621	0.13392331600189208	0.018026284722770246
31	641	0.13722124099731445	0.017928055622966
32	661	0.13642220497131347	0.015114210078144952
33	681	0.14701619148254394	0.015649965969426197
34	701	0.14681563377380372	0.013625530117735513
35	721	0.15761008262634277	0.011062226982776022
36	741	0.16010842323303223	0.014889164333949075
37	761	0.17070207595825196	0.01036307513011004
38	781	0.1801966905593872	0.01749631905188287
39	801	0.18309526443481444	0.015133717267004571
40	821	0.18319528102874755	0.01862056209300256
41	841	0.19878778457641602	0.014325783407904354
42	861	0.20478308200836182	0.015123467335327807
43	881	0.2212731122970581	0.017502836120933882
44	901	0.21897509098052978	0.019381401888044516
45	921	0.2226722240447998	0.013365804338059372
46	941	0.24895758628845216	0.031181705489042085
47	961	0.24376051425933837	0.016112663310346085
48	981	0.25705299377441404	0.012718603866293261
49	1001	0.2657493591308594	0.008695569559054362
50	1021	0.2673473358154297	0.021181645293903564
51	1041	0.29808864593505857	0.06245517743305285
52	1061	0.324514365196228	0.04413800002252074
53	1081	0.32777607440948486	0.05849723431400445
54	1101	0.30082857608795166	0.019372933852580036
55	1121	0.32071647644042967	0.017320214033904383
56	1141	0.33812718391418456	0.025384547864763046
57	1161	0.33860609531402586	0.020399593967490026
58	1181	0.3506995677947998	0.014825006601967606
59	1201	0.3590944051742554	0.028229244237249724
60	1221	0.3759850740432739	0.038367604011409345
61	1241	0.3792842626571655	0.02171051824799018
62	1261	0.4040687561035156	0.022899565667153805
63	1281	0.40686731338500975	0.029017850849744797
64	1301	0.41706128120422364	0.011298508291522182
65	1321	0.42375774383544923	0.015596400354898659
66	1341	0.5070898294448852	0.0965054735403869
67	1361	0.4560065746307373	0.030616310339626442
68	1381	0.4629351139068604	0.026112065173763355
69	1401	0.48062565326690676	0.02629111010168721
70	1421	0.4548391819000244	0.05186044195042106
71	1441	0.41366479396820066	0.0078017517346401265
72	1461	0.4233577013015747	0.009659580235015267
73	1481	0.4337517976760864	0.009723666973655258
74	1501	0.4493443012237549	0.008200442727327574
75	1521	0.4654644727706909	0.008455137339831836
76	1541	0.47252964973449707	0.0180327845778363
77	1561	0.48832039833068847	0.020888989441909436
78	1581	0.49641597270965576	0.011624986609685457
79	1601	0.5054108142852783	0.009806177245687104
80	1621	0.5349953413009644	0.03250185330323459
81	1641	0.5343942403793335	0.021334874992380855
82	1661	0.5431889772415162	0.017855342441667036
83	1681	0.5609793901443482	0.025543547472330622
84	1701	0.5672752141952515	0.01374328272334102
85	1721	0.5862659931182861	0.01645788240902017
86	1741	0.5856649160385132	0.014003942785045092
87	1761	0.5972583055496216	0.016829634080785815
88	1781	0.626442813873291	0.024936956482192
89	1801	0.6383347511291504	0.027159469354165258
90	1821	0.6488287448883057	0.019653289752369647
91	1841	0.6475295782089233	0.013790122681892345
92	1861	0.6584217071533203	0.010047597622174737
93	1881	0.692105484008789	0.025715263076851125
94	1901	0.7002021074295044	0.012832376098301634
95	1921	0.709893774986267	0.013070524222210706
96	1941	0.8206302642822265	0.086243015806459
97	1961	0.7455748319625854	0.04688035225942496
98	1981	0.7402749538421631	0.009841128415176632
99	2001	0.7837519168853759	0.018587079591267035
100	2021	0.7908475875854493	0.01451873930370472
101	2041	0.9600507497787476	0.20689370229606277
102	2061	0.804109764099121	0.014992102212402528
103	2081	0.8273266315460205	0.018258929461579736
104	2101	0.8320239305496215	0.01800205320132872
105	2121	0.8695024251937866	0.029084510102261936
106	2141	0.9018933057785035	0.08501625167962447
107	2161	0.8863927841186523	0.01799922615637506
108	2181	0.8987058401107788	0.013817418063462683
109	2201	0.9252720594406127	0.0387694992829471
110	2221	0.9223707437515258	0.01283679468581418
111	2241	0.9385629653930664	0.02005411987273072
112	2261	0.9764665126800537	0.03454696666318852
113	2281	0.9846366167068481	0.02262328624769837
114	2301	0.9975292205810546	0.012003606708723783
115	2321	1.024067997932434	0.041056665577669765
116	2341	1.0173193693161011	0.013768738475407829
117	2361	1.052998661994934	0.011952408337452501
118	2381	1.0894767045974731	0.04279660052304079
119	2401	1.0856340885162354	0.01827786636743035
120	2421	1.0872102737426759	0.0067775618526097385
121	2441	1.1324490070343018	0.05431035630772511
122	2461	1.1277564287185669	0.016062114397472082
